VehicleDesc,VehicleType,VehicleModel,ModelYear,color,DateStolen,Location
LX,Moped,Vespa,2011,Silver,2022-04-02,Auckland City
UZ,Moped,Suzuki,2014,Black,2021-12-11,Auckland City
UZ,Moped,Suzuki,2013,Silver,2022-04-01,Canterbury
UZ,Moped,Suzuki,2014,Yellow,2021-11-06,Wellington
APE,Moped,Honda,2002,White,2022-01-17,Auckland City
DJ1,Moped,Honda,1988,White,2022-01-13,Auckland City
ET2,Moped,Vespa,2004,Black,2021-12-19,Auckland City
F50,Moped,Forza,2021,Black,2022-02-15,Waitemata
JOG,Moped,Yamaha,2009,Black,2022-01-12,Central
JOG,Moped,Yamaha,1999,Black,2022-03-28,Central
NIU,Moped,Factory Built,2017,White,2022-03-06,Auckland City
NVS,Moped,Honda,2013,Red,2022-01-28,Canterbury
NVS,Moped,Honda,2002,Blue,2022-01-23,Wellington
PAL,Moped,Honda,2020,Black,2021-11-10,Auckland City
PMX,Moped,PGO,2013,Black,2022-01-04,Northland
V50,Moped,Lambretta,2020,Black,2022-01-28,Wellington
ZIP,Moped,Piaggio,2014,Black,2022-02-02,Auckland City
ZIP,Moped,Piaggio,2013,Black,2022-03-27,Wellington
ZIP,Moped,Piaggio,2012,White,2022-02-06,Auckland City
ZIP,Moped,Piaggio,2016,Red,2022-04-03,Auckland City
ZIP,Moped,Piaggio,2013,Black,2022-01-20,Wellington
ZIP,Moped,Piaggio,2017,White,2021-12-23,Auckland City
ZIP,Moped,Piaggio,2017,Black,2022-01-21,Auckland City
ZIP,Moped,Piaggio,2013,Red,2021-12-07,Waitemata
ZIP,Moped,Piaggio,2018,White,2021-12-18,Tasman
AZ50,Moped,Suzuki,2007,Black,2021-12-16,Counties_Manukau
CROX,Moped,SYM,2021,Black,2021-11-15,Canterbury
CV50,Moped,Yamaha,2011,Blue,2022-01-11,Wellington
DD50,Moped,Moped,2005,Black,2021-12-15,Bay of Plenty
DD50,Moped,SYM,2011,Red,2022-04-03,Central
DJ-1,Moped,Honda,1989,Black,2022-01-04,Bay of Plenty
JET4,Moped,SYM,2021,Red,2022-01-08,Canterbury
LETS,Moped,Suzuki,2007,Grey,2022-02-06,Wellington
LETS,Moped,Suzuki,2007,Black,2022-02-25,Wellington
LIKE,Moped,Kymco,2016,Red,2022-01-05,Auckland City
OTTO,Moped,TNT Motor,2020,Black,2022-03-13,Canterbury
OTTO,Moped,TNT Motor,2020,Black,2022-01-09,Auckland City
OTTO,Moped,TNT Motor,2019,Black,2022-03-24,Auckland City
OTTO,Moped,TNT Motor,2018,Black,2021-12-06,Southern
OTTO,Moped,TNT Motor,2015,Black,2022-03-14,Auckland City
OTTO,Moped,TNT Motor,2019,Black,2022-03-28,Auckland City
OTTO,Moped,TNT Motor,2020,Black,2022-03-25,Auckland City
ROMA,Moped,TNT Motor,2021,Black,2022-02-14,Wellington
ROMA,Moped,TNT Motor,2018,Black,2022-02-16,Wellington
ROMA,Moped,TNT Motor,2018,Red,2022-02-17,Bay of Plenty
